ID,Issue_ID,Name,Description,Direction,Target_Issue_ID
6673,19988,Blocker,is blocked by,INBOUND,19869
6674,19991,Blocker,is blocked by,INBOUND,19981
6675,19991,Duplicate,is duplicated by,INBOUND,19981
6676,19993,Duplicate,is duplicated by,INBOUND,19278
6677,19993,Duplicate,is duplicated by,INBOUND,18904
6678,19993,Reference,relates to,OUTBOUND,18247
6679,19993,Reference,relates to,OUTBOUND,18065
6680,19993,Reference,relates to,OUTBOUND,18529
6681,19993,Reference,is related to,INBOUND,22926
6682,19997,Duplicate,duplicates,OUTBOUND,19947
6683,19999,Reference,is related to,INBOUND,20804
6684,20000,Cloners,is a clone of,OUTBOUND,20001
6685,20001,Cloners,is a clone of,OUTBOUND,20002
6686,20001,Cloners,is cloned by,INBOUND,20000
6687,20002,Cloners,is a clone of,OUTBOUND,20003
6688,20002,Cloners,is cloned by,INBOUND,20001
6689,20003,Cloners,is cloned by,INBOUND,20002
6690,20004,Blocker,blocks,OUTBOUND,20493
6691,20007,Duplicate,duplicates,OUTBOUND,20603
6692,20010,Container,Is contained by,INBOUND,19168
6693,20010,Reference,is related to,INBOUND,20879
6694,20010,Reference,is related to,INBOUND,22633
6695,20010,Supercedes,is superceded by,INBOUND,16566
6696,20011,Reference,relates to,OUTBOUND,20824
6697,20011,Reference,relates to,OUTBOUND,18385
6698,20011,Reference,relates to,OUTBOUND,19875
6699,20011,Reference,is related to,INBOUND,21806
6700,20011,Supercedes,supercedes,OUTBOUND,20298
6701,20018,Cloners,is a clone of,OUTBOUND,20019
6702,20018,Reference,relates to,OUTBOUND,20577
6703,20018,Regression,breaks,OUTBOUND,19652
6704,20019,Blocker,blocks,OUTBOUND,20048
6705,20019,Cloners,is cloned by,INBOUND,20018
6706,20019,Reference,relates to,OUTBOUND,20577
6707,20019,Regression,breaks,OUTBOUND,19652
6708,20020,Reference,relates to,OUTBOUND,19951
6709,20020,Reference,is related to,INBOUND,20821
6710,20022,Blocker,blocks,OUTBOUND,21294
6711,20022,Reference,is related to,INBOUND,19702
6712,20023,Blocker,blocks,OUTBOUND,21294
6713,20025,Reference,is related to,INBOUND,20630
6714,20026,Blocker,is blocked by,INBOUND,19255
6715,20026,Blocker,is blocked by,INBOUND,18872
6716,20026,Blocker,is blocked by,INBOUND,19257
6717,20026,Blocker,is blocked by,INBOUND,19256
6718,20026,Blocker,is blocked by,INBOUND,20027
6719,20026,Blocker,is blocked by,INBOUND,19400
6720,20026,Blocker,is blocked by,INBOUND,19399
6721,20026,Blocker,is blocked by,INBOUND,19398
6722,20027,Blocker,blocks,OUTBOUND,20026
6723,20027,Blocker,is blocked by,INBOUND,20029
6724,20029,Blocker,blocks,OUTBOUND,20027
6725,20031,Duplicate,duplicates,OUTBOUND,22109
6726,20031,Reference,relates to,OUTBOUND,19943
6727,20038,Reference,is related to,INBOUND,21376
6728,20040,Reference,is related to,INBOUND,22624
6729,20042,Blocker,blocks,OUTBOUND,19546
6730,20042,Reference,relates to,OUTBOUND,18837
6731,20042,Reference,relates to,OUTBOUND,18836
6732,20042,Reference,relates to,OUTBOUND,22839
6733,20043,Cloners,is a clone of,OUTBOUND,20054
6734,20043,Reference,relates to,OUTBOUND,20051
6735,20043,Reference,relates to,OUTBOUND,20299
6736,20043,Reference,is related to,INBOUND,20067
6737,20044,Reference,is related to,INBOUND,19865
6738,20046,Duplicate,is duplicated by,INBOUND,22726
6739,20048,Blocker,is blocked by,INBOUND,20019
6740,20048,Reference,is related to,INBOUND,22629
6741,20049,Reference,is related to,INBOUND,20742
6742,20050,Reference,is related to,INBOUND,21723
6743,20051,Reference,is related to,INBOUND,20043
6744,20052,Reference,is related to,INBOUND,20878
6745,20054,Cloners,is cloned by,INBOUND,20043
6746,20054,Reference,is related to,INBOUND,20067
6747,20056,dependent,is depended upon by,INBOUND,21456
6748,20058,Reference,is related to,INBOUND,20065
6749,20060,Duplicate,duplicates,OUTBOUND,20299
6750,20060,Reference,relates to,OUTBOUND,20299
6751,20065,Reference,relates to,OUTBOUND,20058
6752,20067,Reference,relates to,OUTBOUND,20054
6753,20067,Reference,relates to,OUTBOUND,20043
6754,20072,Reference,is related to,INBOUND,20231
6755,20073,Duplicate,duplicates,OUTBOUND,21956
6756,20073,Reference,is related to,INBOUND,21956
6757,20075,Duplicate,duplicates,OUTBOUND,17833
6758,20076,Reference,relates to,OUTBOUND,20198
6759,20076,Reference,relates to,OUTBOUND,20096
6760,20077,dependent,is depended upon by,INBOUND,21456
6761,20079,Blocker,blocks,OUTBOUND,21066
6762,20084,Reference,relates to,OUTBOUND,20090
6763,20088,dependent,is depended upon by,INBOUND,21456
6764,20090,Duplicate,is duplicated by,INBOUND,20702
6765,20090,Reference,is related to,INBOUND,20084
6766,20092,Reference,relates to,OUTBOUND,23280
6767,20093,Blocker,is blocked by,INBOUND,20094
6768,20093,Reference,relates to,OUTBOUND,15134
6769,20094,Blocker,blocks,OUTBOUND,20093
6770,20095,Reference,relates to,OUTBOUND,20354
6771,20096,Reference,is related to,INBOUND,20076
6772,20099,Blocker,blocks,OUTBOUND,20349
6773,20099,Blocker,blocks,OUTBOUND,17824
6774,20099,Blocker,blocks,OUTBOUND,16146
6775,20099,Blocker,blocks,OUTBOUND,16703
