dataset,seed,mode,ablation,solver_status,selected_count,total_value,capacity_used,avg_risk,objective_score,skill_coverage,sprint_completion_ratio,runtime_ms,feasibility_total,filtered_by_risk,filtered_by_skill,filtered_by_dependency,filtered_by_status,score_min,score_max,score_mean
spring_xd,43,fixed_weight_milp,all_constraints,baseline:fixed_weight_milp:milp-cbc:Optimal,30,158.21,30,0.2866666666666667,21.63776923076923,1.0,,57.484373999614036,2360,0,0,0,1956,0.322,0.7363589743589742,0.6155678471693323
spring_xd,43,context_only,all_constraints,baseline:context_only:milp-cbc:Optimal,30,163.23,30,0.30533333333333335,22.02949835916254,1.0,,55.98299600023893,2360,0,0,0,1956,0.284047403661678,0.7665145384909081,0.6186155696342237
spring_xd,43,greedy_feasible,all_constraints,baseline:greedy_feasible,13,86.27,30,0.43230769230769234,8.171343128678473,0.8,,40.70756800138042,2360,0,0,0,1956,0.4442368374092376,0.67880294485042,0.5225585486165655
spring_xd,43,random_feasible,all_constraints,baseline:random_feasible:seed-43,11,47.82,30,0.31,7.0214358974358975,0.8,,40.87359200275387,2360,0,0,0,1956,0.322,0.7363589743589742,0.6155678471693323
spring_xd,43,learned_milp,no_risk,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,17.989071461725256,0.8,,55.853501999081345,2360,0,0,0,1956,0.4442368374092376,0.67880294485042,0.5225585486165655
spring_xd,43,learned_milp,no_skill,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,17.989071461725256,0.8,,57.14484499912942,2360,0,0,0,1956,0.4442368374092376,0.67880294485042,0.5225585486165655
spring_xd,43,learned_milp,no_dependency,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,17.989071461725256,0.8,,55.80807700243895,2360,0,0,0,1956,0.4442368374092376,0.67880294485042,0.5225585486165655
spring_xd,43,learned_milp,no_capacity,milp-cbc:Optimal,404,1784.39,1389,0.336980198019802,211.11365364109247,1.0,,50.604433003172744,2360,0,0,0,1956,0.4442368374092376,0.67880294485042,0.5225585486165655
spring_xd,44,learned_milp,all_constraints,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,18.009327284393077,0.8,,60.660237999400124,2360,0,0,0,1956,0.44595686231110043,0.6774572783095509,0.5236782803197504
spring_xd,44,fixed_weight_milp,all_constraints,baseline:fixed_weight_milp:milp-cbc:Optimal,30,158.21,30,0.2866666666666667,21.63776923076923,1.0,,67.1723560008104,2360,0,0,0,1956,0.322,0.7363589743589742,0.6155678471693323
spring_xd,44,context_only,all_constraints,baseline:context_only:milp-cbc:Optimal,30,163.23,30,0.30533333333333335,22.02949835916254,1.0,,60.23822299903259,2360,0,0,0,1956,0.284047403661678,0.7665145384909081,0.6186155696342237
spring_xd,44,greedy_feasible,all_constraints,baseline:greedy_feasible,13,86.27,30,0.43230769230769234,8.165034684406052,0.8,,40.05887700259336,2360,0,0,0,1956,0.44595686231110043,0.6774572783095509,0.5236782803197504
spring_xd,44,random_feasible,all_constraints,baseline:random_feasible:seed-44,12,49.88,30,0.29583333333333334,7.710102564102564,0.8,,40.59751199747552,2360,0,0,0,1956,0.322,0.7363589743589742,0.6155678471693323
spring_xd,44,learned_milp,no_risk,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,18.009327284393077,0.8,,54.90560600082972,2360,0,0,0,1956,0.44595686231110043,0.6774572783095509,0.5236782803197504
spring_xd,44,learned_milp,no_skill,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,18.009327284393077,0.8,,55.97818699970958,2360,0,0,0,1956,0.44595686231110043,0.6774572783095509,0.5236782803197504
spring_xd,44,learned_milp,no_dependency,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,18.009327284393077,0.8,,55.879591000120854,2360,0,0,0,1956,0.44595686231110043,0.6774572783095509,0.5236782803197504
spring_xd,44,learned_milp,no_capacity,milp-cbc:Optimal,404,1784.39,1389,0.336980198019802,211.56602524917915,1.0,,50.286163997952826,2360,0,0,0,1956,0.44595686231110043,0.6774572783095509,0.5236782803197504
usergrid,42,learned_milp,all_constraints,milp-cbc:Optimal,30,191.71,30,0.38066666666666665,23.150484316127084,0.6,,18.645296000613598,512,8,0,0,354,0.40134326077633575,0.8281626257421143,0.6823618973345013
usergrid,42,fixed_weight_milp,all_constraints,baseline:fixed_weight_milp:milp-cbc:Optimal,30,188.93,30,0.36000000000000004,21.928435897435897,0.6,,20.010878000903176,512,8,0,0,354,0.4502051282051282,0.746025641025641,0.6600423931623932
usergrid,42,context_only,all_constraints,baseline:context_only:milp-cbc:Optimal,30,190.15,30,0.36466666666666664,22.774381078969483,0.6,,18.324081000173464,512,8,0,0,354,0.4349194433546878,0.7795125253232411,0.6829066872714225
usergrid,42,greedy_feasible,all_constraints,baseline:greedy_feasible,28,181.38,30,0.39107142857142857,21.665891500488154,0.6,,8.841024999128422,512,8,0,0,354,0.40134326077633575,0.8281626257421143,0.6823618973345013
usergrid,42,random_feasible,all_constraints,baseline:random_feasible:seed-42,15,86.19,30,0.41800000000000004,10.013769230769231,0.8,,9.083892997296061,512,8,0,0,354,0.4502051282051282,0.746025641025641,0.6600423931623932
usergrid,42,learned_milp,no_risk,milp-cbc:Optimal,30,191.71,30,0.38066666666666665,23.150484316127084,0.6,,18.980077002197504,512,0,0,0,361,0.40134326077633575,0.8281626257421143,0.682107589430473
usergrid,42,learned_milp,no_skill,milp-cbc:Optimal,30,191.71,30,0.38066666666666665,23.150484316127084,0.6,,18.017171998508275,512,8,0,0,354,0.40134326077633575,0.8281626257421143,0.6823618973345013
usergrid,42,learned_milp,no_dependency,milp-cbc:Optimal,30,191.71,30,0.38066666666666665,23.150484316127084,0.6,,27.39168300104211,512,8,0,0,354,0.40134326077633575,0.8281626257421143,0.6823618973345013
usergrid,42,learned_milp,no_capacity,milp-cbc:Optimal,150,834.5600000000001,339,0.4024,102.35428460017519,1.0,,14.847841001028428,512,8,0,0,354,0.40134326077633575,0.8281626257421143,0.6823618973345013
usergrid,43,learned_milp,all_constraints,milp-cbc:Optimal,30,191.71,30,0.38066666666666665,22.273009866917526,0.6,,18.530449997342657,512,8,0,0,354,0.4045750649891011,0.809825305270174,0.6545814773047977
